date,time,trip_id,line_id,route_id,route_pattern_id,route_name,route_pattern_name,service_id,service_typicality,direction,from_station,to_station
2019-10-03,05:30:00,CR-Weekday-Spring-19-032,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-03,06:19:00,CR-Weekday-Spring-19-034,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-03,07:11:00,CR-Weekday-Spring-19-033,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-03,07:11:00,CR-Weekday-Spring-19-036,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-03,07:36:00,CR-Weekday-Spring-19-038,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-03,08:37:00,CR-Weekday-Spring-19-040,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-03,08:56:00,CR-Weekday-Spring-19-061,line-Kingston,CR-Kingston,CR-Kingston-3-0,Kingston/Plymouth Line,South Station - Kingston via Plymouth,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-03,10:08:00,CR-Weekday-Spring-19-060,line-Kingston,CR-Kingston,CR-Kingston-3-1,Kingston/Plymouth Line,Plymouth - South Station via Kingston,CR-Wdy-Kingston-Spr-19,1,1,Plymouth,South Station
2019-10-03,10:50:00,CR-Weekday-Spring-19-063,line-Kingston,CR-Kingston,CR-Kingston-1-0,Kingston/Plymouth Line,South Station - Plymouth,CR-Wdy-Kingston-Spr-19,1,0,South Station,Plymouth
2019-10-03,12:06:00,CR-Weekday-Spring-19-062,line-Kingston,CR-Kingston,CR-Kingston-1-1,Kingston/Plymouth Line,Plymouth - South Station,CR-Wdy-Kingston-Spr-19,1,1,Plymouth,South Station
2019-10-03,12:25:00,CR-Weekday-Spring-19-065,line-Kingston,CR-Kingston,CR-Kingston-2-0,Kingston/Plymouth Line,South Station - Plymouth via Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Plymouth
2019-10-03,13:35:00,CR-Weekday-Spring-19-064,line-Kingston,CR-Kingston,CR-Kingston-2-1,Kingston/Plymouth Line,Kingston - South Station via Plymouth,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-03,14:47:00,CR-Weekday-Spring-19-041,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-03,16:02:00,CR-Weekday-Spring-19-048,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-03,16:20:00,CR-Weekday-Spring-19-043,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-03,17:00:00,CR-Weekday-Spring-19-045,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-03,17:38:00,CR-Weekday-Spring-19-047,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-03,18:15:00,CR-Weekday-Spring-19-067,line-Kingston,CR-Kingston,CR-Kingston-2-0,Kingston/Plymouth Line,South Station - Plymouth via Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Plymouth
2019-10-03,18:30:00,CR-Weekday-Spring-19-052,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-03,19:23:00,CR-Weekday-Spring-19-066,line-Kingston,CR-Kingston,CR-Kingston-2-1,Kingston/Plymouth Line,Kingston - South Station via Plymouth,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-03,19:29:00,CR-Weekday-Spring-19-051,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-03,20:53:00,CR-Weekday-Spring-19-056,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-03,21:30:00,CR-Weekday-Spring-19-055,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-03,22:40:00,CR-Weekday-Spring-19-057,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-04,05:30:00,CR-Weekday-Spring-19-032,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-04,06:19:00,CR-Weekday-Spring-19-034,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-04,07:11:00,CR-Weekday-Spring-19-033,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-04,07:11:00,CR-Weekday-Spring-19-036,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-04,07:36:00,CR-Weekday-Spring-19-038,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-04,08:37:00,CR-Weekday-Spring-19-040,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-04,08:56:00,CR-Weekday-Spring-19-061,line-Kingston,CR-Kingston,CR-Kingston-3-0,Kingston/Plymouth Line,South Station - Kingston via Plymouth,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-04,10:08:00,CR-Weekday-Spring-19-060,line-Kingston,CR-Kingston,CR-Kingston-3-1,Kingston/Plymouth Line,Plymouth - South Station via Kingston,CR-Wdy-Kingston-Spr-19,1,1,Plymouth,South Station
2019-10-04,10:50:00,CR-Weekday-Spring-19-063,line-Kingston,CR-Kingston,CR-Kingston-1-0,Kingston/Plymouth Line,South Station - Plymouth,CR-Wdy-Kingston-Spr-19,1,0,South Station,Plymouth
2019-10-04,12:06:00,CR-Weekday-Spring-19-062,line-Kingston,CR-Kingston,CR-Kingston-1-1,Kingston/Plymouth Line,Plymouth - South Station,CR-Wdy-Kingston-Spr-19,1,1,Plymouth,South Station
2019-10-04,12:25:00,CR-Weekday-Spring-19-065,line-Kingston,CR-Kingston,CR-Kingston-2-0,Kingston/Plymouth Line,South Station - Plymouth via Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Plymouth
2019-10-04,13:35:00,CR-Weekday-Spring-19-064,line-Kingston,CR-Kingston,CR-Kingston-2-1,Kingston/Plymouth Line,Kingston - South Station via Plymouth,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-04,14:47:00,CR-Weekday-Spring-19-041,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-04,16:02:00,CR-Weekday-Spring-19-048,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-04,16:20:00,CR-Weekday-Spring-19-043,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-04,17:00:00,CR-Weekday-Spring-19-045,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-04,17:38:00,CR-Weekday-Spring-19-047,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
2019-10-04,18:15:00,CR-Weekday-Spring-19-067,line-Kingston,CR-Kingston,CR-Kingston-2-0,Kingston/Plymouth Line,South Station - Plymouth via Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Plymouth
2019-10-04,18:30:00,CR-Weekday-Spring-19-052,line-Kingston,CR-Kingston,CR-Kingston-0-1,Kingston/Plymouth Line,Kingston - South Station,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-04,19:23:00,CR-Weekday-Spring-19-066,line-Kingston,CR-Kingston,CR-Kingston-2-1,Kingston/Plymouth Line,Kingston - South Station via Plymouth,CR-Wdy-Kingston-Spr-19,1,1,Kingston,South Station
2019-10-04,19:29:00,CR-Weekday-Spring-19-051,line-Kingston,CR-Kingston,CR-Kingston-0-0,Kingston/Plymouth Line,South Station - Kingston,CR-Wdy-Kingston-Spr-19,1,0,South Station,Kingston
