service_date,line,estimated_boardings,ObjectId
2020/07/02 04:00:00+00,Middleborough/Lakeville,783,1
2020/07/02 04:00:00+00,Lowell,869,2
2020/07/02 04:00:00+00,Haverhill,569,3
2020/07/02 04:00:00+00,Kingston,519,4
2020/07/02 04:00:00+00,Needham,328,5
2020/07/02 04:00:00+00,Fitchburg,658,6
2020/07/02 04:00:00+00,Greenbush,297,7
2020/07/02 04:00:00+00,Fairmount,271,8
2020/07/06 04:00:00+00,Providence/Stoughton,2051.5,9
2020/07/06 04:00:00+00,Newburyport/Rockport,1308,10
2020/07/06 04:00:00+00,Framingham/Worcester,201,11
2020/07/06 04:00:00+00,Franklin/Foxboro,714.5,12
2020/07/06 04:00:00+00,Middleborough/Lakeville,776,13
2020/07/06 04:00:00+00,Lowell,791,14
2020/07/06 04:00:00+00,Haverhill,635,15
2020/07/06 04:00:00+00,Kingston,490,16
2020/07/06 04:00:00+00,Needham,310,17
2020/07/06 04:00:00+00,Fitchburg,492,18
2020/07/06 04:00:00+00,Greenbush,285,19
2020/07/06 04:00:00+00,Fairmount,251,20
2020/07/07 04:00:00+00,Providence/Stoughton,2147.5,21
2020/07/07 04:00:00+00,Newburyport/Rockport,1497,22
2020/07/07 04:00:00+00,Framingham/Worcester,243,23
2020/07/07 04:00:00+00,Franklin/Foxboro,820,24
2020/07/07 04:00:00+00,Middleborough/Lakeville,918,25
2020/07/07 04:00:00+00,Lowell,905,26
2020/07/07 04:00:00+00,Haverhill,690,27
2020/07/07 04:00:00+00,Kingston,727,28
2020/07/07 04:00:00+00,Needham,382,29
2020/07/07 04:00:00+00,Fitchburg,564,30
2020/07/07 04:00:00+00,Greenbush,319,31
2020/07/07 04:00:00+00,Fairmount,283.5,32
2020/07/08 04:00:00+00,Providence/Stoughton,2328.5,33
2020/07/08 04:00:00+00,Newburyport/Rockport,1415,34
2020/07/08 04:00:00+00,Framingham/Worcester,318.5,35
2020/07/08 04:00:00+00,Franklin/Foxboro,1066,36
2020/07/08 04:00:00+00,Middleborough/Lakeville,939,37
2020/07/08 04:00:00+00,Lowell,860.5,38
2020/07/08 04:00:00+00,Haverhill,724,39
2020/07/08 04:00:00+00,Kingston,668.5,40
2020/07/08 04:00:00+00,Needham,426,41
2020/07/08 04:00:00+00,Fitchburg,525,42
2020/07/08 04:00:00+00,Greenbush,277,43
2020/07/08 04:00:00+00,Fairmount,304,44
2020/07/09 04:00:00+00,Providence/Stoughton,2442.5,45
2020/07/09 04:00:00+00,Newburyport/Rockport,1492,46
2020/07/09 04:00:00+00,Framingham/Worcester,546,47
2020/07/09 04:00:00+00,Franklin/Foxboro,1180,48
2020/07/09 04:00:00+00,Middleborough/Lakeville,871,49
2020/07/09 04:00:00+00,Lowell,1025.5,50
2020/07/09 04:00:00+00,Haverhill,770,51
2020/07/09 04:00:00+00,Kingston,884.5,52
2020/07/09 04:00:00+00,Needham,400,53
2020/07/09 04:00:00+00,Fitchburg,710,54
2020/07/09 04:00:00+00,Greenbush,372,55
2020/07/09 04:00:00+00,Fairmount,339.5,56
2020/07/10 04:00:00+00,Providence/Stoughton,2269.5,57
2020/07/10 04:00:00+00,Newburyport/Rockport,1418.5,58
2020/07/10 04:00:00+00,Framingham/Worcester,544.5,59
2020/07/10 04:00:00+00,Franklin/Foxboro,1325.5,60
2020/07/10 04:00:00+00,Middleborough/Lakeville,944,61
2020/07/10 04:00:00+00,Lowell,950.5,62
2020/07/10 04:00:00+00,Haverhill,693,63
2020/07/10 04:00:00+00,Kingston,796.5,64
2020/07/10 04:00:00+00,Needham,548,65
2020/07/10 04:00:00+00,Fitchburg,543,66
2020/07/10 04:00:00+00,Greenbush,367,67
2020/07/10 04:00:00+00,Fairmount,402,68
2020/07/13 04:00:00+00,Providence/Stoughton,2514.5,69
2020/07/13 04:00:00+00,Newburyport/Rockport,1504,70
2020/07/13 04:00:00+00,Framingham/Worcester,1271.5,71
2020/07/13 04:00:00+00,Franklin/Foxboro,1243,72
2020/07/13 04:00:00+00,Middleborough/Lakeville,826.5,73
2020/07/13 04:00:00+00,Lowell,870.5,74
2020/07/13 04:00:00+00,Haverhill,635,75
2020/07/13 04:00:00+00,Kingston,727,76
2020/07/13 04:00:00+00,Needham,543,77
2020/07/13 04:00:00+00,Fitchburg,534,78
2020/07/13 04:00:00+00,Greenbush,281,79
2020/07/13 04:00:00+00,Fairmount,293.5,80
2020/07/14 04:00:00+00,Providence/Stoughton,2601,81
2020/07/14 04:00:00+00,Newburyport/Rockport,1555,82
2020/07/14 04:00:00+00,Framingham/Worcester,1325,83
2020/07/14 04:00:00+00,Franklin/Foxboro,1299,84
2020/07/14 04:00:00+00,Middleborough/Lakeville,995.5,85
2020/07/14 04:00:00+00,Lowell,931.5,86
2020/07/14 04:00:00+00,Haverhill,747,87
2020/07/14 04:00:00+00,Kingston,786.5,88
2020/07/14 04:00:00+00,Needham,557,89
2020/07/14 04:00:00+00,Fitchburg,573,90
2020/07/14 04:00:00+00,Greenbush,334,91
2020/07/14 04:00:00+00,Fairmount,366.5,92
2020/07/15 04:00:00+00,Providence/Stoughton,2813,93
2020/07/15 04:00:00+00,Newburyport/Rockport,1568,94
2020/07/15 04:00:00+00,Framingham/Worcester,1261.5,95
2020/07/15 04:00:00+00,Franklin/Foxboro,1519,96
2020/07/15 04:00:00+00,Middleborough/Lakeville,914,97
2020/07/15 04:00:00+00,Lowell,1037,98
2020/07/15 04:00:00+00,Haverhill,705,99
2020/07/15 04:00:00+00,Kingston,808,100
2020/07/21 04:00:00+00,Greenbush,367,101
2020/07/21 04:00:00+00,Fairmount,409.5,102
