date,route_id,total_trips,early_am_trips,peak_am_trips,midday_trips,peak_pm_trips,evening_pm_trips,late_pm_trips,local_trips,express_trips,typical_trips,atypical_trips
2019-10-03,CR-Franklin,40,3,8,11,9,5,4,1,39,40,0
2019-10-03,CR-Worcester,54,5,14,10,12,9,4,15,39,54,0
2019-10-03,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-10-03,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-10-03,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-10-03,CR-Haverhill,42,2,10,11,12,4,3,14,28,0,42
2019-10-03,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-10-03,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-10-03,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-10-03,CR-Greenbush,24,1,5,8,6,3,1,2,22,24,0
2019-10-03,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-10-03,CR-Fairmount,39,2,6,14,8,7,2,39,0,39,0
2019-10-04,CR-Franklin,40,3,8,11,9,5,4,1,39,40,0
2019-10-04,CR-Worcester,54,5,14,10,12,9,4,15,39,54,0
2019-10-04,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-10-04,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-10-04,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-10-04,CR-Haverhill,42,2,10,11,12,4,3,14,28,0,42
2019-10-04,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-10-04,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-10-04,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-10-04,CR-Greenbush,24,1,5,8,6,3,1,2,22,24,0
2019-10-04,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-10-04,CR-Fairmount,39,2,6,14,8,7,2,39,0,39,0
2019-10-05,CR-Providence,18,0,3,7,3,4,1,18,0,18,0
2019-10-05,CR-Fitchburg,14,0,1,8,2,2,1,14,0,0,14
2019-10-05,CR-Worcester,18,0,2,8,4,2,2,18,0,18,0
2019-10-05,CR-Middleborough,16,0,3,7,2,3,1,7,9,16,0
2019-10-05,CR-Kingston,16,0,3,7,3,2,1,6,10,16,0
2019-10-05,CR-Lowell,16,0,3,6,4,2,1,16,0,16,0
2019-10-05,CR-Newburyport,26,0,3,12,4,4,3,26,0,26,0
2019-10-05,CR-Greenbush,16,0,2,9,2,2,1,16,0,16,0
2019-10-05,CR-Haverhill,12,0,2,4,2,2,2,12,0,12,0
2019-10-05,CR-Fairmount,32,0,5,13,6,6,2,32,0,32,0
2019-10-06,CR-Fitchburg,14,0,1,8,2,2,1,14,0,0,14
2019-10-06,CR-Worcester,18,0,2,8,4,2,2,18,0,18,0
2019-10-06,CR-Middleborough,16,0,3,7,2,3,1,7,9,16,0
2019-10-06,CR-Kingston,16,0,3,7,3,2,1,6,10,16,0
2019-10-06,CR-Lowell,16,0,3,6,4,2,1,16,0,16,0
2019-10-06,CR-Newburyport,26,0,3,12,4,4,3,26,0,26,0
2019-10-06,CR-Greenbush,16,0,2,9,2,2,1,16,0,16,0
2019-10-06,CR-Haverhill,12,0,2,4,2,2,2,12,0,12,0
2019-10-06,CR-Fairmount,32,0,5,13,6,6,2,32,0,32,0
2019-10-06,CR-Providence,14,0,0,6,3,4,1,14,0,14,0
2019-10-07,CR-Franklin,40,3,8,11,9,5,4,1,39,40,0
2019-10-07,CR-Worcester,54,5,14,10,12,9,4,15,39,54,0
2019-10-07,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-10-07,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-10-07,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-10-07,CR-Haverhill,42,2,10,11,12,4,3,14,28,0,42
2019-10-07,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-10-07,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-10-07,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-10-07,CR-Greenbush,24,1,5,8,6,3,1,2,22,24,0
2019-10-07,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-10-07,CR-Fairmount,39,2,6,14,8,7,2,39,0,39,0
2019-10-08,CR-Franklin,40,3,8,11,9,5,4,1,39,40,0
2019-10-08,CR-Worcester,54,5,14,10,12,9,4,15,39,54,0
2019-10-08,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-10-08,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-10-08,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-10-08,CR-Haverhill,42,2,10,11,12,4,3,14,28,0,42
2019-10-08,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-10-08,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-10-08,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-10-08,CR-Greenbush,24,1,5,8,6,3,1,2,22,24,0
2019-10-08,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-10-08,CR-Fairmount,39,2,6,14,8,7,2,39,0,39,0
2019-10-09,CR-Franklin,40,3,8,11,9,5,4,1,39,40,0
2019-10-09,CR-Worcester,54,5,14,10,12,9,4,15,39,54,0
2019-10-09,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-10-09,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-10-09,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-10-09,CR-Haverhill,42,2,10,11,12,4,3,14,28,0,42
2019-10-09,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-10-09,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-10-09,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-10-09,CR-Greenbush,24,1,5,8,6,3,1,2,22,24,0
2019-10-09,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-10-09,CR-Fairmount,39,2,6,14,8,7,2,39,0,39,0
2019-10-10,CR-Franklin,40,3,8,11,9,5,4,1,39,40,0
2019-10-10,CR-Worcester,54,5,14,10,12,9,4,15,39,54,0
2019-10-10,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-10-10,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-10-10,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-10-10,CR-Haverhill,42,2,10,11,12,4,3,14,28,0,42
2019-10-10,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-10-10,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-10-10,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-10-10,CR-Greenbush,24,1,5,8,6,3,1,2,22,24,0
2019-10-10,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-10-10,CR-Fairmount,39,2,6,14,8,7,2,39,0,39,0
2019-10-10,CR-Foxboro,2,0,0,0,2,0,0,1,1,0,2
2019-10-11,CR-Franklin,40,3,8,11,9,5,4,1,39,40,0
2019-10-11,CR-Worcester,54,5,14,10,12,9,4,15,39,54,0
2019-10-11,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-10-11,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-10-11,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-10-11,CR-Haverhill,42,2,10,11,12,4,3,14,28,0,42
2019-10-11,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
